id,name,amount,annual_rate,capital_valuation,risk_category,term_remaining,loan_term,ltv,your_net_instructions,mla_accrued_interest,your_total_holding,your_access_holdings,your_mla_holdings,units_available,last_updated,trading_status,next_payment_date,your_standard_notes,your_isa_notes
1164,NCL Property Limited - Bentinck House,534761.04,6,100,Medium,1,64,64.88211972,,,3.401889585,3.401889585,,0,2025-01-24 19:29:41 +08:00,monitoring event,2025-01-31,,
1162,John Burgess (Sole trader),315000,9.5,100,Default,2,64,50.42625,,,2.029005693,2.029005693,,0,2024-12-19 18:14:36 +08:00,credit event suspended,2023-04-28,,
1154,"Mr & Mrs Rijvers, Bournemouth",640454.3,6,100,Medium High,1,64,71.16158889,,,4.66547351,4.66547351,,0,2025-01-28 19:21:41 +08:00,monitoring event,2020-07-15,,
1144,Peninsular Developments Limited,1061672.8,8.5,100,Default,2,65,66.83976492,,,2.436066096,2.436066096,,0,2024-12-05 20:50:43 +08:00,credit event suspended,2022-09-28,,
1138,Mr & Mrs Murray | Ballymoney,893347.33,9.5,100,Medium Low,1,65,13.54873092,,,0.469746079,0.469746079,,61589.22952,2025-01-24 00:30:09 +08:00,,2025-01-23,,
1137,Anthony Gould  T/A The Cricketers Inn (Sole Trader),280698.83,7,100,Medium,2,65,45.18011636,,,1.638363437,1.638363437,,0,2024-12-23 21:55:31 +08:00,monitoring event,2025-01-23,,
1130,Rosedene Highland House Apartments Limited /  Boardbeach Limited,937172.61,8,100,Medium,2,66,57.39950357,,,0.5106110267,0.5106110267,,0,2025-01-15 08:00:00 +08:00,monitoring event,2025-02-11,,
1122,Eastrop Barns Ltd - Highworth Barns,2134005.86,0,0,Default,0,60,43.98035954,,,4.28427555,4.28427555,,0,2025-01-27 20:11:17 +08:00,credit event suspended,2024-07-01,,
1117,Blackmore - Cheadle,1037543.3,0,0,Default,-23,35,57.96331285,,,1.622545406,1.622545406,,0,2025-01-09 16:49:42 +08:00,credit event suspended,2020-05-14,,
1116,Blackmore Longridge - phase 1 & 2,3417706.38,0,0,Default,1,34,38.34798637,,,1.451137344,1.451137344,,0,2025-01-09 16:49:08 +08:00,credit event suspended,2022-01-15,,
1103,Blanksons Limited,325760.11,6,100,Default,3,67,57.2199898,,,1.825863635,1.825863635,,0,2024-11-25 22:36:02 +08:00,credit event suspended,2024-10-14,,
1101,Carlton St Peter Properties Limited - Beauchamp Arms (Refinance Loan),402147.22,8,100,High,1,66,66.761906,,,2.145401749,2.145401749,,0,2025-01-13 19:30:38 +08:00,monitoring event,2025-02-09,,
1083,Carlton St Peter Properties Limited - Aston Boatyard,437242.64,8,100,High,1,67,64.24126372,,,2.331997942,2.331997942,,0,2025-01-13 19:30:04 +08:00,monitoring event,2025-02-09,,
1068,Joanish Limited,245000,9,100,Medium Low,1,67,52.9821375,,,1.5431817,1.5431817,,0,2025-01-02 19:49:48 +08:00,monitoring event,2025-01-31,,
1065,M Hillas (Properties) Limited,407398,6,99.7,Medium,2,69,44.3310575,,,2.623196096,2.623196096,,0,2025-01-21 20:58:52 +08:00,monitoring event,2024-12-31,,
1063,Javaid & Zahida Aslam T/A Lemonfield Guest House,504465.94,6.75,100,Medium High,1,68,64.77421221,,,3.200760222,3.200760222,,0,2025-01-28 21:02:37 +08:00,monitoring event,2025-01-27,,
1044,Ingham Stores Limited,187614.2,6.5,100,Medium High,1,68,67.16152453,,,1.289023317,1.289023317,,0,2024-12-23 21:53:19 +08:00,monitoring event,2024-11-17,,
1043,Raccoon Property Services Limited,625974.59,7,100,Medium,2,69,41.56777259,,,3.379904299,3.379904299,,0,2025-01-27 20:51:39 +08:00,monitoring event,2025-02-19,,
1029,Gungate Properties Limited  | Tamworth,692965.29,7,99.7,Medium,2,69,60.91107374,,,4.392598209,4.392598209,,0,2024-12-09 17:14:18 +08:00,monitoring event,2025-01-24,,
977,Saroia Staffing Services Limited Loan 2,600000,0,93.74,Default,1,68,72.31233,,,2.996580509,2.996580509,,0,2025-01-16 21:30:35 +08:00,credit event suspended,2024-11-01,,
962,YGGIZ - CALEDONIA,1237306.7,0,100,Medium High,1,70,87.13427465,,,6.666893629,6.666893629,,0,2024-12-19 21:21:54 +08:00,monitoring event suspended,2022-06-23,,
956,Saroia Staffing Services Limited -  Doncaster,900000,9,60.74,Default,3,71,88.42016941,,,4.742838707,4.742838707,,0,2025-01-16 21:30:00 +08:00,credit event suspended,2024-10-08,,
912,Riaz - Southfield Health Care Limited,1400000,0,0,Default,0,47,79.5089512,,,0.7016161807,0.7016161807,,0,2024-07-29 16:18:32 +08:00,credit event suspended,2022-06-16,,
831,Silver Sattar Bothwell Limited Refinance,1562644.96,0,0,Default,-6,61,50.08477436,,,1.995837488,1.995837488,,0,2024-09-26 20:12:09 +08:00,credit event suspended,2020-08-07,,
824,Ballinafad Properties Limited,3486953.17,0,0.63,Default,-11,43,68.57331701,,,12.40594679,12.40594679,,0,2024-12-03 16:19:49 +08:00,credit event suspended,2020-10-05,,
